,DrawDate,PrizeCode,Digit
0,2014-10-05,1,0000
1,2014-09-06,2,0000
2,2005-08-21,S,0000
3,2006-05-14,S,0000
4,2012-01-29,S,0000
5,2013-10-26,S,0000
6,2000-11-15,C,0000
7,2002-09-14,C,0000
8,2005-04-13,C,0000
9,2009-06-13,C,0000
10,2011-08-06,C,0000
11,2016-01-20,C,0000
12,2016-02-21,C,0000
0,1994-12-11,1,0001
1,1988-12-24,2,0001
2,2006-04-26,S,0001
3,2013-07-14,S,0001
4,2015-03-21,S,0001
5,1993-11-06,S,0001
6,2013-02-06,C,0001
7,2017-02-25,C,0001
0,2004-02-07,3,0002
1,1987-11-08,S,0002
2,2003-02-22,S,0002
3,2003-05-07,S,0002
4,2004-01-03,S,0002
5,2013-02-06,S,0002
6,1998-02-04,S,0002
7,2004-06-13,C,0002
8,1988-06-25,C,0002
9,2005-05-04,C,0002
10,2009-02-08,C,0002
11,2009-10-07,C,0002
12,2014-04-19,C,0002
13,2014-05-25,C,0002
0,2001-08-18,S,0003
1,2004-02-01,S,0003
2,2015-03-22,S,0003
3,2015-06-13,S,0003
4,2016-08-27,S,0003
5,1990-06-23,S,0003
6,1992-01-11,S,0003
7,2008-10-08,C,0003
0,2000-05-07,S,0004
1,1993-05-22,S,0004
2,2003-07-20,C,0004
3,2004-05-05,C,0004
4,2006-12-23,C,0004
5,1993-08-07,C,0004
0,2016-07-03,1,0005
1,2001-04-14,S,0005
2,2018-04-15,S,0005
3,1993-07-07,C,0005
0,1990-05-20,2,0006
1,2007-01-28,3,0006
2,2014-04-06,3,0006
3,1996-01-28,S,0006
4,1997-08-10,S,0006
5,1999-12-25,S,0006
6,1986-07-20,S,0006
7,2002-02-02,C,0006
8,2011-12-07,C,0006
9,2012-08-15,C,0006
10,2013-09-01,C,0006
11,1995-05-14,C,0006
0,2001-12-12,1,0007
1,2009-12-27,3,0007
2,1995-12-02,3,0007
3,2000-07-01,S,0007
4,2000-10-04,S,0007
5,2005-06-22,S,0007
6,2011-06-05,S,0007
7,1999-02-21,C,0007
8,2002-05-26,C,0007
0,2015-03-18,1,0008
1,2003-06-29,3,0008
2,1999-12-12,S,0008
3,2009-06-06,S,0008
4,2010-04-24,S,0008
5,2012-09-08,S,0008
6,2013-10-16,C,0008
7,1992-10-03,C,0008
0,2007-03-04,1,0009
1,2008-11-30,3,0009
2,2003-03-08,S,0009
3,2009-04-05,S,0009
4,2015-05-31,S,0009
5,2013-11-02,C,0009
0,1987-03-08,1,0010
1,1987-07-26,S,0010
2,1999-11-28,S,0010
3,2003-05-04,S,0010
4,2006-08-23,S,0010
5,2005-04-13,C,0010
6,2009-03-18,C,0010
7,2013-03-31,C,0010
8,1991-11-03,C,0010
9,1994-07-31,C,0010
0,1998-06-06,3,0011
1,1988-10-02,S,0011
2,2014-01-18,S,0011
3,2001-08-22,C,0011
4,2012-11-03,C,0011
5,2016-09-07,C,0011
0,1998-11-01,3,0012
1,2000-09-23,S,0012
2,2009-05-06,S,0012
3,1990-06-09,S,0012
4,2009-05-23,C,0012
