"","Digit","Total"
"1",0,1800
"2",1,1550
"3",2,950
"4",3,400
"5",4,300
"6",5,1000
"7",6,1450
"8",7,1750
"9",8,1450
"10",9,1350
"11",10,1300
"12",11,550
"13",12,650
"14",13,2300
"15",14,550
"16",15,1400
"17",16,1550
"18",17,1250
"19",18,750
"20",19,1400
"21",20,1000
"22",21,1850
"23",22,1150
"24",23,1050
"25",24,450
"26",25,850
"27",26,450
"28",27,600
"29",28,1100
"30",29,550
"31",30,900
"32",31,200
"33",32,1650
"34",33,450
"35",34,750
"36",35,800
"37",36,1250
"38",37,600
"39",38,450
"40",39,800
"41",40,650
"42",41,1600
"43",42,1250
"44",43,600
"45",44,1650
"46",45,1550
"47",46,750
"48",47,1050
"49",48,900
"50",49,1800
"51",50,1450
"52",51,550
"53",52,2800
"54",53,450
"55",54,1500
"56",55,1100
"57",56,450
"58",57,100
"59",58,400
"60",59,1250
"61",60,550
"62",61,400
"63",62,1950
"64",63,450
"65",64,1350
"66",65,1450
"67",66,350
"68",67,400
"69",68,950
"70",69,650
"71",70,1350
"72",71,1600
"73",72,950
"74",73,350
"75",74,750
"76",75,600
"77",76,650
"78",77,400
"79",78,2050
"80",79,1650
"81",80,250
"82",81,1600
"83",82,800
"84",83,800
"85",84,2050
"86",85,600
"87",86,1100
"88",87,1150
"89",88,1900
"90",89,1700
"91",90,400
"92",91,1200
"93",92,450
"94",93,2500
"95",94,4250
"96",95,1150
"97",96,450
"98",97,2150
"99",98,850
"100",99,1450
"101",100,1650
"102",101,1100
"103",102,950
"104",103,950
"105",104,850
"106",105,150
"107",106,650
"108",107,1100
"109",108,1550
"110",109,1050
"111",110,600
"112",111,1000
"113",112,750
"114",113,1050
"115",114,2300
"116",115,450
"117",116,400
"118",117,2550
"119",118,1300
"120",119,650
"121",120,1300
"122",121,2150
"123",122,300
"124",123,800
"125",124,1500
"126",125,950
"127",126,1000
"128",127,950
"129",128,500
"130",129,1600
"131",130,2300
"132",131,750
"133",132,250
"134",133,350
"135",134,700
"136",135,2800
"137",136,600
"138",137,600
"139",138,1850
"140",139,350
"141",140,350
"142",141,1600
"143",142,300
"144",143,1650
"145",144,1550
"146",145,1300
"147",146,2150
"148",147,650
"149",148,1400
"150",149,1900
"151",150,2250
"152",151,1200
"153",152,1000
"154",153,1250
"155",154,500
"156",155,300
"157",156,800
"158",157,900
"159",158,1300
"160",159,200
"161",160,400
"162",161,950
"163",162,3100
"164",163,750
"165",164,2250
"166",165,800
"167",166,950
"168",167,1150
"169",168,1850
"170",169,600
"171",170,700
"172",171,750
"173",172,600
"174",173,1000
"175",174,250
"176",175,450
"177",176,1000
"178",177,700
"179",178,400
"180",179,1450
"181",180,350
"182",181,300
"183",182,1850
"184",183,1100
"185",184,450
"186",185,2350
"187",186,650
"188",187,1150
"189",188,1850
"190",189,250
"191",190,500
"192",191,800
"193",192,800
"194",193,700
"195",194,1100
"196",195,1000
"197",196,1600
"198",197,1650
"199",198,1300
"200",199,1850
"201",200,700
"202",201,500
"203",202,3450
"204",203,1450
"205",204,3100
"206",205,1300
"207",206,1650
"208",207,650
"209",208,1100
"210",209,2050
"211",210,550
"212",211,2100
"213",212,2450
"214",213,1750
"215",214,450
"216",215,600
"217",216,2150
"218",217,1700
"219",218,650
"220",219,1350
"221",220,250
"222",221,3750
"223",222,1850
"224",223,3350
"225",224,1250
"226",225,2500
"227",226,1300
"228",227,950
"229",228,1050
"230",229,650
"231",230,950
"232",231,400
"233",232,300
"234",233,2700
"235",234,1350
"236",235,2100
"237",236,800
"238",237,550
"239",238,1800
"240",239,2600
"241",240,550
"242",241,550
"243",242,1300
"244",243,1300
"245",244,250
"246",245,1400
"247",246,650
"248",247,1200
"249",248,400
"250",249,650
"251",250,1650
"252",251,1350
"253",252,350
"254",253,900
"255",254,650
"256",255,1300
"257",256,1100
"258",257,550
"259",258,2800
"260",259,1050
"261",260,650
"262",261,600
"263",262,950
"264",263,1000
"265",264,500
"266",265,600
"267",266,400
"268",267,1400
"269",268,400
"270",269,1000
"271",270,600
"272",271,1050
"273",272,2450
"274",273,1800
"275",274,850
"276",275,1300
"277",276,2100
"278",277,950
"279",278,1700
"280",279,1250
"281",280,1200
"282",281,700
"283",282,1150
"284",283,1600
"285",284,800
"286",285,1250
"287",286,550
"288",287,750
"289",288,2900
"290",289,1950
"291",290,500
"292",291,400
"293",292,850
"294",293,1350
"295",294,600
"296",295,450
"297",296,2750
"298",297,2500
"299",298,1350
"300",299,700
"301",300,1300
"302",301,500
"303",302,800
"304",303,1700
"305",304,900
"306",305,1500
"307",306,950
"308",307,1200
"309",308,300
"310",309,1200
"311",310,1150
"312",311,1950
"313",312,2400
"314",313,450
"315",314,2650
"316",315,750
"317",316,1200
"318",317,1550
"319",318,1250
"320",319,550
"321",320,1600
"322",321,450
"323",322,1150
"324",323,700
"325",324,1850
"326",325,1700
"327",326,1400
"328",327,650
"329",328,750
"330",329,650
"331",330,750
"332",331,200
"333",332,300
"334",333,450
"335",334,1100
"336",335,1850
"337",336,1000
"338",337,1500
"339",338,750
"340",339,900
"341",340,700
"342",341,2550
"343",342,400
"344",343,500
"345",344,750
"346",345,1500
"347",346,300
"348",347,450
"349",348,1300
"350",349,400
"351",350,150
"352",351,1450
"353",352,1200
"354",353,1300
"355",354,900
"356",355,300
"357",356,600
"358",357,450
"359",358,250
"360",359,700
"361",360,200
"362",361,1350
"363",362,600
"364",363,1600
"365",364,1100
"366",365,900
"367",366,350
"368",367,850
"369",368,750
"370",369,400
"371",370,650
"372",371,1300
"373",372,1400
"374",373,1550
"375",374,1200
"376",375,300
"377",376,1500
"378",377,2200
"379",378,1900
"380",379,800
"381",380,1650
"382",381,2950
"383",382,900
"384",383,550
"385",384,300
"386",385,2000
"387",386,1750
"388",387,750
"389",388,800
"390",389,2150
"391",390,2250
"392",391,1650
"393",392,1850
"394",393,1050
"395",394,600
"396",395,250
"397",396,650
"398",397,1700
"399",398,300
"400",399,600
"401",400,1750
"402",401,1150
"403",402,350
"404",403,1450
"405",404,1200
"406",405,650
"407",406,450
"408",407,400
"409",408,1150
"410",409,1100
"411",410,650
"412",411,300
"413",412,1650
"414",413,350
"415",414,800
"416",415,1250
"417",416,1750
"418",417,500
"419",418,1350
"420",419,600
"421",420,800
"422",421,1150
"423",422,1150
"424",423,3500
"425",424,1050
"426",425,850
"427",426,750
"428",427,750
"429",428,550
"430",429,900
"431",430,1000
"432",431,1350
"433",432,500
"434",433,350
"435",434,600
"436",435,2050
"437",436,450
"438",437,300
"439",438,1250
"440",439,850
"441",440,1050
"442",441,900
"443",442,1750
"444",443,500
"445",444,450
"446",445,600
"447",446,1250
"448",447,600
"449",448,750
"450",449,1600
"451",450,650
"452",451,800
"453",452,1600
"454",453,950
"455",454,850
"456",455,500
"457",456,1800
"458",457,1150
"459",458,550
"460",459,1550
"461",460,750
"462",461,2550
"463",462,3100
"464",463,1650
"465",464,1050
"466",465,850
"467",466,900
"468",467,650
"469",468,950
"470",469,1500
"471",470,3050
"472",471,500
"473",472,300
"474",473,600
"475",474,1600
"476",475,1350
"477",476,1250
"478",477,3350
"479",478,1700
"480",479,650
"481",480,200
"482",481,1150
"483",482,2100
"484",483,1550
"485",484,1500
"486",485,1850
"487",486,550
"488",487,400
"489",488,950
"490",489,800
"491",490,400
"492",491,1000
"493",492,950
"494",493,650
"495",494,600
"496",495,1850
"497",496,750
"498",497,450
"499",498,1700
"500",499,1900
"501",500,2400
"502",501,1400
"503",502,1350
"504",503,600
"505",504,900
"506",505,1150
"507",506,1400
"508",507,250
"509",508,850
"510",509,650
"511",510,1100
"512",511,1100
"513",512,1700
"514",513,1000
"515",514,750
"516",515,1050
"517",516,1300
"518",517,1500
"519",518,1750
"520",519,1250
"521",520,1600
"522",521,1400
"523",522,2150
"524",523,650
"525",524,250
"526",525,900
"527",526,200
"528",527,1450
"529",528,350
"530",529,1150
"531",530,1550
"532",531,1700
"533",532,1350
"534",533,650
"535",534,1350
"536",535,300
